X,TCGA.A1.A0SP.01A,TCGA.BH.A18T.01A,TCGA.E2.A1LL.01A,TCGA.D8.A1XK.01A,TCGA.AN.A04D.01A,TCGA.A8.A07C.01A,TCGA.AR.A0U4.01A,TCGA.D8.A1JG.01B,TCGA.A2.A04Q.01A,TCGA.E2.A1B6.01A,TCGA.B6.A0RS.01A,TCGA.D8.A1JL.01A,TCGA.E9.A1ND.01A,TCGA.AQ.A04J.01A,TCGA.A1.A0SO.01A,TCGA.D8.A27M.01A,TCGA.BH.A18V.01A,TCGA.A7.A26G.01A,TCGA.E2.A1LI.01A,TCGA.A7.A26I.01B,TCGA.AR.A0TS.01A,TCGA.BH.A0AV.01A,TCGA.D8.A1XQ.01A,TCGA.C8.A26Y.01A,TCGA.AO.A128.01A,TCGA.A7.A0CE.01A,TCGA.B6.A0WX.01A,TCGA.A2.A0YM.01A,TCGA.B6.A0RU.01A,TCGA.AN.A0XU.01A,TCGA.AO.A12F.01A,TCGA.EW.A1P4.01A,TCGA.AN.A0AR.01A,TCGA.BH.A0BW.01A,TCGA.E2.A1AZ.01A,TCGA.B6.A0RE.01A,TCGA.D8.A143.01A,TCGA.BH.A0E0.01A,TCGA.BH.A0B3.01A,TCGA.AR.A0TU.01A,TCGA.A2.A0CM.01A,TCGA.AN.A0AL.01A,TCGA.B6.A0IE.01A,TCGA.D8.A1JF.01A,TCGA.AR.A1AI.01A,TCGA.AO.A124.01A,TCGA.AN.A0AT.01A,TCGA.AR.A1AY.01A,TCGA.C8.A131.01A,TCGA.E2.A14X.01A,TCGA.AR.A0U0.01A,TCGA.AN.A0G0.01A,TCGA.BH.A0E6.01A,TCGA.BH.A0B9.01A,TCGA.EW.A1P1.01A,TCGA.A2.A0T2.01A,TCGA.D8.A27F.01A,TCGA.E2.A1LK.01A,TCGA.D8.A13Z.01A,TCGA.BH.A1FC.01A,TCGA.EW.A1P7.01A,TCGA.E2.A150.01A,TCGA.BH.A0BG.01A,TCGA.BH.A0RX.01A,TCGA.A2.A0ST.01A,TCGA.A2.A0T0.01A,TCGA.EW.A1P8.01A,TCGA.BH.A18Q.01A,TCGA.AN.A0FL.01A,TCGA.A7.A0DA.01A,TCGA.A2.A04U.01A,TCGA.AO.A0J4.01A,TCGA.C8.A134.01A,TCGA.A2.A04T.01A,TCGA.E2.A1LG.01A,TCGA.E2.A1LS.01A,TCGA.C8.A26X.01A,TCGA.C8.A12V.01A,TCGA.A2.A04P.01A,TCGA.BH.A0BL.01A,TCGA.A2.A0D2.01A,TCGA.E2.A158.01A,TCGA.A7.A26F.01B,TCGA.E2.A159.01A,TCGA.E2.A14R.01A,TCGA.C8.A1HJ.01A,TCGA.BH.A18G.01A,TCGA.BH.A0WA.01A,TCGA.A2.A0D0.01A,TCGA.AO.A129.01A,TCGA.BH.A1EW.01A,TCGA.E2.A14N.01A,TCGA.B6.A0RT.01A,TCGA.A2.A1G6.01A,TCGA.EW.A1OV.01A,TCGA.A1.A0SK.01A,TCGA.AR.A1AR.01A,TCGA.B6.A0IK.01A,TCGA.EW.A1PB.01A,TCGA.A8.A09X.01A,TCGA.E9.A22G.01A,TCGA.E2.A1LH.01A,TCGA.AO.A0JL.01A,TCGA.D8.A147.01A,TCGA.A2.A0SX.01A,TCGA.B6.A0IQ.01A,TCGA.E2.A1L7.01A,TCGA.AO.A0J6.01A,TCGA.A2.A0YE.01A,TCGA.D8.A27H.01A,TCGA.EW.A1OW.01A,TCGA.B6.A0RG.01A,TCGA.AR.A1AQ.01A,TCGA.AR.A256.01A,TCGA.A8.A07O.01A,TCGA.AN.A0FX.01A,TCGA.AO.A03U.01B,TCGA.AO.A0J2.01A,TCGA.A8.A08R.01A,TCGA.D8.A142.01A,TCGA.C8.A27B.01A,TCGA.B6.A0RN.01A
KEAP1,1.063268383,1.131328306,1.124253832,0.994548317,1.209123144,0.986471334,0.854517558,0.879993131,0.93480554,0.940496339,0.866446444,0.892569057,1.00889285,0.978944931,1.083230519,0.862828397,1.102410925,0.909846655,0.821289219,0.427826653,0.850267599,0.854541525,0.851061845,1.05024259,1.113146471,1.155647958,0.950875426,1.012944176,1.081086743,1.101914292,0.779448676,1.309875903,1.158633023,0.866134375,0.70555996,1.021542995,0.758856007,1.020053449,1.044553725,1.091962243,0.975555685,1.013517973,1.033782145,0.592654974,0.960038446,1.161384137,1.213550161,1.096979563,0.826779254,1.049934923,1.060759988,0.991060168,1.006857299,1.031916014,0.896834489,1.032014947,1.157054756,1.006612531,1.000860478,1.256562374,0.957544031,1.103895647,0.964838208,1.002864306,0.893880484,1.106791316,0.977283369,0.993161133,1.208078655,0.924698332,1.180706733,1.070131208,1.118268238,0.942296908,1.493825726,0.782838922,1.078375918,1.086273318,0.962003388,0.834422441,1.093375078,0.866580465,0.460700808,0.800483188,1.231642796,0.715345245,1.202729955,0.839088058,1.280684379,1.116626677,0.969184961,0.932265518,0.997440024,0.7850289,0.906223117,0.978291778,0.849277273,0.967534561,1.277603165,0.812432419,1.067493645,0.943699206,1.003589794,0.993708261,1.039751834,0.833256809,1.003178233,1.107630122,1.076045001,1.097182621,0.915602001,1.09991586,1.055622335,1.145334822,0.976233405,1.048813557,1.011510913,0.953088172,0.901836196,0.805483449,0.960023057,1.086534452
NFE2L2,0.912305423,0.928393552,1.042524339,0.934789813,0.820695802,0.933604494,0.935831371,0.914943082,0.839948767,0.700295634,0.828831613,0.845855968,1.020419206,0.9333575,0.78773447,0.901740085,0.904635559,1.00668083,0.802014384,0.522127054,0.732238558,0.926869625,0.827965492,0.941175909,0.948323013,0.833332372,0.859162304,0.934096428,0.831493843,0.885995455,0.841181046,0.98683921,0.761886187,0.995845939,0.877795804,0.862137528,0.844271689,0.775965262,0.876908087,0.787683255,0.854022388,1.188056123,0.762155245,0.869332176,1.049090188,0.905387179,0.918748643,0.714058909,0.819761472,0.771356945,0.863408155,0.908925176,0.719129938,0.911932627,0.995473751,0.828381947,0.807206549,0.760291161,0.819686589,0.838311793,0.814946852,0.985827774,0.994030624,0.786366268,0.85713064,0.982857659,0.745440066,0.722668377,1.02951175,0.766006018,0.797310292,0.86582688,0.868991886,0.691350966,1.227101455,0.970442579,0.887871082,0.906876886,0.743702644,0.885423618,0.692895194,0.744396549,0.566590419,0.768907626,0.760134167,0.889646639,0.962274271,0.884898569,0.783583752,0.73002765,0.956873803,1.092767058,0.756188737,1.02071333,0.808802959,0.904051751,1.113008819,0.902611226,0.896105892,0.856343042,0.753580271,0.732555056,0.661511023,0.935412535,0.852795275,0.779676964,0.886197999,0.93380535,0.939945577,0.998063118,0.78520916,0.928301104,0.891447895,0.955697372,0.93144864,0.710354838,0.962540795,0.925497563,0.782370679,0.794403508,1.114692796,0.8150769
ATM,0.42727894,0.760910578,0.381296752,0.495322161,0.443963923,0.927413153,0.542361863,0.780778502,0.565137746,0.702917902,0.595815731,0.705049914,0.435752441,0.609406669,0.627080492,0.757952388,0.557641783,0.903672459,0.422930318,0.565889179,0.957404567,0.50453518,0.563092795,0.404777892,0.711078908,0.432812112,0.55176174,0.499385341,0.381135201,0.666626772,0.389284974,0.453216006,0.458320614,0.835566963,0.732597322,0.409482551,0.43777575,0.43415262,0.397954437,0.368362867,0.532940912,0.538315051,0.537710199,0.839471839,0.565554167,0.388991715,0.383143307,0.605088239,0.417578758,0.560662208,0.600800867,0.865689638,0.34047746,0.560452753,0.568730807,0.324643178,0.626844117,0.570843274,0.449360196,0.373597564,0.783264381,0.415706118,0.520791491,0.407214067,0.654639168,0.367382746,0.455892167,0.60074483,0.434122892,0.473501567,0.164330309,0.654512418,0.486139688,0.427489696,0.449322412,0.424410475,0.453567582,0.621229347,0.374050429,0.557809718,0.425841814,0.345996305,0.704615551,0.548485006,0.389550882,0.397304239,0.34008813,0.498563946,0.40834412,0.370134057,0.611346039,0.556994277,0.882345087,0.671220647,0.72967718,0.626032434,0.859061207,0.437528882,0.366362893,0.516132618,0.26779647,0.517508941,0.437951701,0.812402935,0.598229179,0.402853327,0.491649817,0.468134582,0.452171646,0.614595227,0.613296948,0.302775471,0.499295993,0.454641563,0.50623408,0.314927105,0.650378196,0.210844731,0.726811116,0.541117438,0.400462042,0.583857728
CHEK2,0.697039394,0.986358251,0.84479491,1.091078567,0.80780821,0.967421846,0.74856898,0.513742327,0.608900046,0.947607959,0.824162778,0.676511448,0.656029942,0.860929948,0.900699707,0.582246111,0.704150335,0.982444279,0.829015847,0.425647084,0.528961213,0.59017825,0.656149654,0.676414179,0.721810947,0.8067302,0.655395029,0.660577999,0.90680673,0.805889883,1.015909178,0.682850974,1.014073498,0.539411508,0.767093848,0.848132738,0.776891946,0.748062969,0.714544131,1.02107814,0.715986616,0.812330377,0.715714678,0.529967053,1.046301925,0.749059644,0.926790934,1.006439096,0.703530882,0.753723577,0.616839914,0.996128994,0.817912423,0.817886619,0.436584314,0.699039221,1.00497511,0.606904844,0.71164788,0.816488979,0.471779965,0.695304115,0.634183437,0.924422661,0.603369646,0.757585943,0.848010818,0.813440904,0.736183228,0.544518005,0.999866859,0.638615163,0.645562362,0.918677256,0.662862281,0.782557739,0.635904885,0.799523541,0.765315772,0.637013184,1.154596984,0.736016879,0.467414185,0.716594518,0.76708117,1.029964057,0.636905574,0.802648715,1.05138177,0.818938369,0.591366455,1.278129299,0.973622095,0.48478442,0.716679528,0.954658474,0.832130624,0.590534293,0.748663936,0.679763492,0.928582562,0.685343555,0.712265564,0.73291496,0.577068506,0.956645045,0.784419265,0.735170561,0.728651669,0.458283055,0.809793054,0.466384107,0.874811526,0.824162099,0.871738335,0.625471901,0.365998188,1.058049583,0.88381487,0.703207389,0.946307662,0.376442519
TP53,0.560387647,1.378907229,0.672962825,1.249461363,1.096538594,0.477845917,1.18436017,0.67207889,0.772287995,0.935682607,1.063664273,1.117406161,1.199386418,1.144310027,1.31544899,0.668233119,0.732413646,1.095309073,1.275974875,0.649578964,0.722642655,1.304256633,0.803835468,1.050537743,0.785699809,1.164270328,1.338671418,1.030133906,0.731378032,0.877158205,0.932840173,1.34310416,0.527823271,0.640689934,1.124333369,0.797077092,0.640286214,1.225236209,1.222093282,1.315396635,1.220833707,1.105734232,0.720356073,1.087978661,1.202944135,0.502248095,0.628898943,0.597262771,1.193873172,0.656785316,1.235502548,0.642698324,0.624763021,1.265385162,1.009997102,1.09185888,0.635013481,0.541103499,1.209523054,0.650845112,0.935463133,0.586689305,0.664423703,0.848337777,1.143933795,1.206817993,1.31791617,0.641261426,0.442667787,1.095168691,0.473199506,1.163227268,1.065832682,1.278601585,1.148715247,1.053986756,0.986027182,1.047102394,0.594203971,1.076274966,0.743533231,1.056862036,0.716776857,0.997519243,1.211832276,0.575738214,1.306657747,1.173213029,0.548763855,1.265758025,0.989270249,0.623376382,1.10847256,0.973447683,0.978810927,1.395330698,0.763524187,1.19103136,1.107706774,1.053453858,0.581728389,1.092078933,0.643360212,1.168553906,1.23529133,0.711156467,1.133818051,0.540551734,0.429014038,0.587737313,0.639025449,1.017057236,0.833362294,0.657099912,0.659154776,1.145783959,0.970968031,1.227280789,0.673051191,1.13966955,1.360096602,1.1536579
MDM2,0.529575753,0.775426862,0.619471068,0.633731804,0.72509202,0.674768417,0.58934736,0.530638752,0.527635912,0.487007964,0.543989443,0.476034372,0.466501894,0.526836679,0.523519881,0.522729521,0.435188473,0.633345528,0.56690662,0.402918644,0.566905284,0.492686675,0.532089991,0.607783743,0.55114108,0.61248502,0.681961871,0.66853841,0.546143456,0.496505843,0.519293978,0.454089811,0.327043296,0.846118715,0.574130107,0.500674547,0.556276712,0.506255712,0.543469125,0.519828256,0.636010654,0.591602186,0.557588543,0.491323882,0.508905938,0.482834948,0.466225305,0.666027242,0.448383219,0.54110191,0.536483709,0.642761077,0.484257606,0.477593069,0.58515827,0.456645175,0.485075364,0.444863322,0.60581065,0.598752047,0.556079859,0.490804453,0.611953718,0.494120072,0.558651744,0.793306581,0.420199509,0.568297947,0.407820724,0.586944722,0.612115257,0.48260438,0.671459798,0.820908097,0.487328518,0.599050561,0.502178504,0.531518533,0.371406278,0.486624697,0.491987162,0.590944948,0.423886309,0.557287365,0.58663599,0.461454955,0.769345861,0.570923562,0.526334593,0.472916725,1.208636031,0.572225315,0.525134323,0.68170528,0.595508499,0.634846229,0.562930992,0.580200414,0.493736225,0.661007841,0.728690638,0.469065462,0.503996875,0.605012439,0.547295469,0.466846013,0.63600897,0.591743791,0.422351796,0.580297604,0.603616296,1.038970153,0.422646296,0.607869272,0.661427439,0.553040185,0.622101216,0.525414322,0.681310986,0.482936178,0.678657855,0.584187076
PPM1D,0.861224236,0.954087531,0.619995697,0.862263005,1.396402507,1.259025088,1.174156885,0.925936074,0.859057288,0.836388568,0.815532042,0.846268695,0.889567631,1.084617733,1.270767502,0.741890143,0.79656663,1.020186884,1.151539498,0.605030149,1.024189493,1.125977303,1.401708321,0.944701537,0.870745037,0.926198016,0.860588228,1.243412129,1.137599125,1.160419049,0.89132253,1.045786443,0.654098015,1.141212909,0.974387015,1.087074048,1.209907692,0.773120076,0.97038557,0.909492449,0.864741274,0.893311765,1.118813954,0.759890577,0.894558272,1.544065409,1.034616816,1.095269964,0.770403538,1.01047737,0.949638211,0.779542989,0.72666666,1.142435963,1.160128542,0.7386332,1.027677295,0.971959477,0.875082204,1.254538283,0.848873585,0.806853624,1.062281054,0.841100975,0.936636728,1.417372261,0.82913209,1.343824018,0.616403606,0.861261734,0.944550852,1.045828594,1.092546094,0.953777846,1.252875219,0.742258292,0.813174562,0.869536698,0.637910326,0.911995427,0.921704088,0.784432127,0.525261435,0.856026641,1.165471304,1.19320472,1.49744844,1.047035861,0.641565888,0.734940854,1.134035248,0.768391513,0.82788497,1.110285166,0.782702236,1.575739069,0.96971175,1.655773319,0.723066711,0.789181236,1.333741904,0.904949572,0.793191459,0.981959918,1.104511435,0.840666922,1.184115687,0.856632601,0.788053678,1.041803622,1.010766689,1.110279542,0.808404885,1.110140113,1.027722362,1.076596509,0.9807783,0.993661571,0.951309207,0.886049312,1.011216076,0.890446676
CDKN1A,0.916067973,0.564524281,1.323214883,0.985448047,0.84045856,0.638185172,0.637985403,0.837298935,0.817648961,0.690276108,0.887098706,0.927091776,1.030324709,0.879639067,0.382817382,0.888278552,0.772181774,0.831970095,0.63346623,0.54822406,0.791488393,1.252714213,0.912974802,1.030921448,0.818413336,0.822294533,0.743585343,0.815383949,0.941652089,0.665157108,0.789166455,1.089756751,0.403361083,0.946668381,0.695763085,0.788185771,1.169610136,1.579846103,0.832555588,0.4682213,0.845194883,0.923871626,0.597641326,0.623902053,0.622148543,0.754330218,1.00526112,0.758501746,1.085986768,0.586938172,1.095419302,0.498316562,0.609788388,0.5289861,1.243028769,0.890798522,0.918201478,0.81512829,1.286252552,0.620538132,0.929250681,0.709143892,0.658857504,0.756689668,0.839326286,1.099491105,0.69847799,0.725784282,0.715675733,0.923997569,0.813699506,0.725250148,0.76671098,0.907584295,1.04081294,0.382130689,0.869441272,0.844704583,0.857380891,0.847741407,0.751872043,0.322095622,0.576681622,1.080034572,0.729845408,0.977641821,1.139408825,0.85957899,0.658095169,0.63406047,1.067358928,0.592022871,0.697097036,0.923094829,0.836664747,1.172460135,0.777977695,0.993830211,0.926187105,0.734142496,0.810425748,0.797461476,0.698503627,0.707911427,0.751329707,0.753553429,0.854858829,0.755234532,0.918278261,0.900773308,0.730124539,1.117626092,0.781495543,0.529025208,0.606505869,0.917926037,1.11006076,0.803640447,0.675490851,0.971617687,0.672249753,0.771011521
Mafmed,0.64094684,0.613166241,0.766047154,0.807363012,0.773986993,0.534173944,0.629615915,0.541929531,0.537643377,0.560839324,0.834788413,0.791904075,0.799455891,0.713825432,0.303112964,0.745136168,0.560500927,0.392572822,0.836337908,0.474052069,0.671145622,0.753449975,0.845405469,0.838415375,0.630558295,0.873355756,0.523954913,0.716351913,0.607087539,0.578592996,0.765661682,1.181736533,0.656950671,0.490572303,0.502194386,1.049268618,0.627346081,0.810801878,0.822721458,0.670340042,0.764842965,0.91402688,0.490354656,0.439755979,0.55302445,0.655036179,0.854775403,0.717269936,0.812514946,0.825933245,0.655961759,0.971230614,0.531673669,0.672673986,0.997981313,0.674751454,0.85564816,0.907014093,0.640216575,0.596614911,0.85935277,0.890139233,0.656102313,0.622482434,0.736969735,0.791818686,0.761207453,1.026190898,0.931103678,0.752958439,0.727793738,0.933663477,0.739481352,0.742225224,0.704491982,0.620077613,0.650162563,0.625864046,0.768191414,0.603568941,0.844315438,0.940556795,0.645864534,0.80753217,0.815424371,0.515898753,0.719899039,0.589336648,0.738019176,0.852718592,0.653921278,0.508108568,0.756404169,0.845825222,0.598546417,0.608177463,0.465907545,0.830316551,0.698397623,0.798716042,0.546328202,0.67273537,0.726066023,0.467005621,0.722768285,0.485015249,0.950439873,0.955536641,0.820559239,0.924768597,0.632810059,0.706963403,0.519346167,0.454869653,0.849491867,0.702430467,0.837363438,0.815936904,1.004497544,0.929621685,0.887158537,0.619891289
Rmed,1.058083745,1.131681227,1.248251952,1.1047805,1.118282742,0.971128278,1.048211789,1.062693099,1.028647144,1.030265523,1.092840337,0.973999204,1.032909357,0.900572978,1.010004086,0.941756841,1.023882953,1.003100494,1.033505322,0.513949036,0.870779945,1.001357013,0.931475861,1.117591643,1.020784498,1.042281089,0.972181529,0.990479927,1.044411691,1.008824962,1.051517666,1.105932899,0.954859671,0.925714849,0.954275549,1.080395061,1.058990827,1.188092435,1.071121677,1.198388745,1.048733286,1.058499964,1.222203056,1.043774918,1.038486799,0.992753079,1.170261866,1.020212967,1.074467618,1.044956587,1.082247138,1.110681168,1.061183588,0.940174471,0.971408487,1.20068238,1.017761563,1.162670163,1.003672655,1.154637997,0.857848818,1.088101364,0.977248775,1.098376745,0.984601872,1.126474641,1.067183584,0.923521368,1.134272022,0.970043747,1.216857682,0.974861415,1.041049617,1.085103505,0.98183248,1.21105944,1.151925176,0.942908274,1.033833251,0.895013181,1.114712137,0.97442619,0.537553624,1.024468812,1.072953834,1.060554766,1.23581528,0.950158485,1.236232328,1.07431383,0.989498108,1.222523346,0.93840404,0.887080152,0.972267649,0.976351762,1.074996592,1.179252128,1.05954803,1.087667313,1.172424561,1.108384744,1.098354273,0.872589947,0.866069219,1.063863992,1.032562918,1.084342839,0.998249609,0.971345981,1.027379451,1.192349709,1.027038463,1.109197038,1.202163429,0.934146356,0.980887977,1.147085974,1.043876347,0.968084576,1.054031567,0.980186512